36%,"500-599,9",255
36%,"600-699,9",294
36%,700-1000,362
52%,"0-49,9",66
52%,"50-99,9",75
52%,"100-149,9",97
52%,"150-199,9",123
52%,"200-299,9",173
52%,"300-399,9",209
52%,"400-499,9",256
52%,"500-599,9",255
52%,"600-699,9",294
52%,700-1000,362
58%,"0-49,9",66
58%,"50-99,9",75
58%,"100-149,9",97
58%,"150-199,9",123
58%,"200-299,9",173
58%,"300-399,9",209
58%,"400-499,9",256
58%,"500-599,9",255
58%,"600-699,9",294
58%,700-1000,362
68%,"0-49,9",66
68%,"50-99,9",75
68%,"100-149,9",97
68%,"150-199,9",123
68%,"200-299,9",173
68%,"300-399,9",209
68%,"400-499,9",256
68%,"500-599,9",255
68%,"600-699,9",294
68%,700-1000,362
83%,"0-49,9",66
83%,"50-99,9",75
83%,"100-149,9",97
83%,"150-199,9",123
83%,"200-299,9",173
83%,"300-399,9",209
83%,"400-499,9",256
83%,"500-599,9",255
83%,"600-699,9",294
83%,700-1000,362
88%,"0-49,9",66
88%,"50-99,9",75
88%,"100-149,9",97
88%,"150-199,9",123
88%,"200-299,9",173
88%,"300-399,9",209
88%,"400-499,9",256
88%,"500-599,9",255
88%,"600-699,9",294
88%,700-1000,362
89%,"0-49,9",66
89%,"50-99,9",75
89%,"100-149,9",97
89%,"150-199,9",123
89%,"200-299,9",173
89%,"300-399,9",209
89%,"400-499,9",256
89%,"500-599,9",255
89%,"600-699,9",294
89%,700-1000,362
90%,"0-49,9",66
90%,"50-99,9",75
90%,"100-149,9",97
90%,"150-199,9",123
90%,"200-299,9",173
90%,"300-399,9",209
90%,"400-499,9",256
90%,"500-599,9",255
90%,"600-699,9",294
90%,700-1000,362
04%,"0-49,9",68
04%,"50-99,9",78
04%,"100-149,9",102
04%,"150-199,9",129
04%,"200-299,9",183
04%,"300-399,9",221
04%,"400-499,9",271
04%,"500-599,9",270
04%,"600-699,9",311
04%,700-1000,384
11%,"0-49,9",68
11%,"50-99,9",78
11%,"100-149,9",102
11%,"150-199,9",129
11%,"200-299,9",183
11%,"300-399,9",221
11%,"400-499,9",271
11%,"500-599,9",270
11%,"600-699,9",311
11%,700-1000,384
15%,"0-49,9",68
15%,"50-99,9",78
15%,"100-149,9",102
15%,"150-199,9",129
15%,"200-299,9",183
15%,"300-399,9",221
15%,"400-499,9",271
15%,"500-599,9",270
15%,"600-699,9",311
15%,700-1000,384
23%,"0-49,9",68
23%,"50-99,9",78
23%,"100-149,9",102
23%,"150-199,9",129
23%,"200-299,9",183
23%,"300-399,9",221
23%,"400-499,9",271
23%,"500-599,9",270
23%,"600-699,9",311
23%,700-1000,384
45%,"0-49,9",68
45%,"50-99,9",78
45%,"100-149,9",102
45%,"150-199,9",129
45%,"200-299,9",183
45%,"300-399,9",221
45%,"400-499,9",271
45%,"500-599,9",270
45%,"600-699,9",311
45%,700-1000,384
54%,"0-49,9",68
54%,"50-99,9",78
54%,"100-149,9",102
54%,"150-199,9",129
54%,"200-299,9",183
54%,"300-399,9",221
54%,"400-499,9",271
54%,"500-599,9",270
54%,"600-699,9",311
54%,700-1000,384
55%,"0-49,9",68
55%,"50-99,9",78
55%,"100-149,9",102
55%,"150-199,9",129
55%,"200-299,9",183
55%,"300-399,9",221
55%,"400-499,9",271
55%,"500-599,9",270
55%,"600-699,9",311
55%,700-1000,384
57%,"0-49,9",68
57%,"50-99,9",78
57%,"100-149,9",102
57%,"150-199,9",129
57%,"200-299,9",183
57%,"300-399,9",221
57%,"400-499,9",271
57%,"500-599,9",270
57%,"600-699,9",311
57%,700-1000,384
66%,"0-49,9",68
66%,"50-99,9",78
66%,"100-149,9",102
66%,"150-199,9",129
66%,"200-299,9",183
66%,"300-399,9",221
66%,"400-499,9",271
66%,"500-599,9",270
66%,"600-699,9",311
66%,700-1000,384
67%,"0-49,9",68
67%,"50-99,9",78
67%,"100-149,9",102
67%,"150-199,9",129
67%,"200-299,9",183
67%,"300-399,9",221
67%,"400-499,9",271
67%,"500-599,9",270
67%,"600-699,9",311
67%,700-1000,384
87%,"0-49,9",68
87%,"50-99,9",78
87%,"100-149,9",102
87%,"150-199,9",129
87%,"200-299,9",183
87%,"300-399,9",221
87%,"400-499,9",271
87%,"500-599,9",270
87%,"600-699,9",311
87%,700-1000,384
02%,"0-49,9",74
02%,"50-99,9",85
02%,"100-149,9",112
02%,"150-199,9",143
02%,"200-299,9",203
02%,"300-399,9",246
02%,"400-499,9",302
02%,"500-599,9",301
02%,"600-699,9",347
02%,700-1000,430
06%,"0-49,9",74
06%,"50-99,9",85
06%,"100-149,9",112
06%,"150-199,9",143
06%,"200-299,9",203
06%,"300-399,9",246
06%,"400-499,9",302
06%,"500-599,9",301
06%,"600-699,9",347
06%,700-1000,430
08%,"0-49,9",74
08%,"50-99,9",85
08%,"100-149,9",112
08%,"150-199,9",143
08%,"200-299,9",203
08%,"300-399,9",246
08%,"400-499,9",302
08%,"500-599,9",301
08%,"600-699,9",347
08%,700-1000,430
12%,"0-49,9",74
12%,"50-99,9",85
12%,"100-149,9",112
12%,"150-199,9",143
12%,"200-299,9",203
12%,"300-399,9",246
12%,"400-499,9",302
12%,"500-599,9",301
12%,"600-699,9",347
12%,700-1000,430
19%,"0-49,9",74
