84*,"199,9-299,9",164
84*,"299,9-399,9",197
84*,"399,9-499,9",200
84*,"499,9-599,9",200
84*,"599,9-699,9",200
84*,"699,9-1000",200
10*,"0-49,9",66
10*,"0,49-99,9",75
10*,"99,9-149,9",97
10*,"149,9-199,9",123
10*,"199,9-299,9",173
10*,"299,9-399,9",209
10*,"399,9-499,9",250
10*,"499,9-599,9",250
10*,"599,9-699,9",250
10*,"699,9-1000",250
18*,"0-49,9",66
18*,"0,49-99,9",75
18*,"99,9-149,9",97
18*,"149,9-199,9",123
18*,"199,9-299,9",173
18*,"299,9-399,9",209
18*,"399,9-499,9",250
18*,"499,9-599,9",250
18*,"599,9-699,9",250
18*,"699,9-1000",250
36*,"0-49,9",66
36*,"0,49-99,9",75
36*,"99,9-149,9",97
36*,"149,9-199,9",123
36*,"199,9-299,9",173
36*,"299,9-399,9",209
36*,"399,9-499,9",250
36*,"499,9-599,9",250
36*,"599,9-699,9",250
36*,"699,9-1000",250
52*,"0-49,9",66
52*,"0,49-99,9",75
52*,"99,9-149,9",97
52*,"149,9-199,9",123
52*,"199,9-299,9",173
52*,"299,9-399,9",209
52*,"399,9-499,9",250
52*,"499,9-599,9",250
52*,"599,9-699,9",250
52*,"699,9-1000",250
58*,"0-49,9",66
58*,"0,49-99,9",75
58*,"99,9-149,9",97
58*,"149,9-199,9",123
58*,"199,9-299,9",173
58*,"299,9-399,9",209
58*,"399,9-499,9",250
58*,"499,9-599,9",250
58*,"599,9-699,9",250
58*,"699,9-1000",250
68*,"0-49,9",66
68*,"0,49-99,9",75
68*,"99,9-149,9",97
68*,"149,9-199,9",123
68*,"199,9-299,9",173
68*,"299,9-399,9",209
68*,"399,9-499,9",250
68*,"499,9-599,9",250
68*,"599,9-699,9",250
68*,"699,9-1000",250
83*,"0-49,9",66
83*,"0,49-99,9",75
83*,"99,9-149,9",97
83*,"149,9-199,9",123
83*,"199,9-299,9",173
83*,"299,9-399,9",209
83*,"399,9-499,9",250
83*,"499,9-599,9",250
83*,"599,9-699,9",250
83*,"699,9-1000",250
88*,"0-49,9",66
88*,"0,49-99,9",75
88*,"99,9-149,9",97
88*,"149,9-199,9",123
88*,"199,9-299,9",173
88*,"299,9-399,9",209
88*,"399,9-499,9",250
88*,"499,9-599,9",250
88*,"599,9-699,9",250
88*,"699,9-1000",250
89*,"0-49,9",66
89*,"0,49-99,9",75
89*,"99,9-149,9",97
89*,"149,9-199,9",123
89*,"199,9-299,9",173
89*,"299,9-399,9",209
89*,"399,9-499,9",250
89*,"499,9-599,9",250
89*,"599,9-699,9",250
89*,"699,9-1000",250
90*,"0-49,9",66
90*,"0,49-99,9",75
90*,"99,9-149,9",97
90*,"149,9-199,9",123
90*,"199,9-299,9",173
90*,"299,9-399,9",209
90*,"399,9-499,9",250
90*,"499,9-599,9",250
90*,"599,9-699,9",250
90*,"699,9-1000",250
04*,"0-49,9",68
04*,"0,49-99,9",78
04*,"99,9-149,9",102
04*,"149,9-199,9",129
04*,"199,9-299,9",183
04*,"299,9-399,9",221
04*,"399,9-499,9",250
04*,"499,9-599,9",250
04*,"599,9-699,9",250
04*,"699,9-1000",250
11*,"0-49,9",68
11*,"0,49-99,9",78
11*,"99,9-149,9",102
11*,"149,9-199,9",129
11*,"199,9-299,9",183
11*,"299,9-399,9",221
11*,"399,9-499,9",250
11*,"499,9-599,9",250
11*,"599,9-699,9",250
11*,"699,9-1000",250
15*,"0-49,9",68
15*,"0,49-99,9",78
15*,"99,9-149,9",102
15*,"149,9-199,9",129
15*,"199,9-299,9",183
15*,"299,9-399,9",221
15*,"399,9-499,9",250
15*,"499,9-599,9",250
15*,"599,9-699,9",250
15*,"699,9-1000",250
23*,"0-49,9",68
23*,"0,49-99,9",78
23*,"99,9-149,9",102
23*,"149,9-199,9",129
23*,"199,9-299,9",183
23*,"299,9-399,9",221
23*,"399,9-499,9",250
23*,"499,9-599,9",250
23*,"599,9-699,9",250
23*,"699,9-1000",250
45*,"0-49,9",68
45*,"0,49-99,9",78
45*,"99,9-149,9",102
45*,"149,9-199,9",129
45*,"199,9-299,9",183
45*,"299,9-399,9",221
45*,"399,9-499,9",250
45*,"499,9-599,9",250
45*,"599,9-699,9",250
45*,"699,9-1000",250
54*,"0-49,9",68
54*,"0,49-99,9",78
54*,"99,9-149,9",102
54*,"149,9-199,9",129
54*,"199,9-299,9",183
54*,"299,9-399,9",221
